topic_id,topic,question,Baseline,Proposed
118,poem in your pocket day,do you need information related to celebrating the poem in your pocket day,"What specific date or month is ""poem in your pocket day"" celebrated?","What types of items do you typically collect in your pocket, such as coins or small treasures?"
118,poem in your pocket day,,"What specific date or month is ""poem in your pocket day"" celebrated?","What types of items do you typically collect in your pocket, such as coins or small treasures?"
119,interview thank you,are you interested in example of thank you letters for interview,"""What specific aspects of an interview do you want to express gratitude for?",What is the applicant's full name?
119,interview thank you,would you like a list of common interview questions,"""What specific aspects of an interview do you want to express gratitude for?",What is the applicant's full name?
119,interview thank you,would you like to know more about writing interview thank you letters,"""What specific aspects of an interview do you want to express gratitude for?",What is the applicant's full name?
119,interview thank you,would you like to know more information about writing a thank you email,"""What specific aspects of an interview do you want to express gratitude for?",What is the applicant's full name?
119,interview thank you,are you interested in interview thank you letters,"""What specific aspects of an interview do you want to express gratitude for?",What is the applicant's full name?
119,interview thank you,are you interested in learning how to write a thank you letter after an interview,"""What specific aspects of an interview do you want to express gratitude for?",What is the applicant's full name?
119,interview thank you,are you looking for an interview preparation guide,"""What specific aspects of an interview do you want to express gratitude for?",What is the applicant's full name?
119,interview thank you,are you preparing to conduct an interview or go to an interview,"""What specific aspects of an interview do you want to express gratitude for?",What is the applicant's full name?
119,interview thank you,do you like to know more about writing thank you notes for an interview,"""What specific aspects of an interview do you want to express gratitude for?",What is the applicant's full name?
119,interview thank you,do you want guidelines on how to ace an inteview,"""What specific aspects of an interview do you want to express gratitude for?",What is the applicant's full name?
119,interview thank you,do you want tips on how to be successful in an interview,"""What specific aspects of an interview do you want to express gratitude for?",What is the applicant's full name?
119,interview thank you,what about an interview do you need help with,"""What specific aspects of an interview do you want to express gratitude for?",What is the applicant's full name?
119,interview thank you,,"""What specific aspects of an interview do you want to express gratitude for?",What is the applicant's full name?
12,djs,are you a dj,"A useful follow-up question to clarify the query could be, ""What specific type of DJs are you looking for?",What is the historical background of [insert subject/topic here] and how did it come to be?
12,djs,do you want to go to a djs website,"A useful follow-up question to clarify the query could be, ""What specific type of DJs are you looking for?",What is the historical background of [insert subject/topic here] and how did it come to be?
12,djs,do you want to know the price to hire a dj,"A useful follow-up question to clarify the query could be, ""What specific type of DJs are you looking for?",What is the historical background of [insert subject/topic here] and how did it come to be?
12,djs,is there a certain type of dj you are looking for,"A useful follow-up question to clarify the query could be, ""What specific type of DJs are you looking for?",What is the historical background of [insert subject/topic here] and how did it come to be?
12,djs,would you like to know how to become a dj,"A useful follow-up question to clarify the query could be, ""What specific type of DJs are you looking for?",What is the historical background of [insert subject/topic here] and how did it come to be?
12,djs,would you like to read about dj employment,"A useful follow-up question to clarify the query could be, ""What specific type of DJs are you looking for?",What is the historical background of [insert subject/topic here] and how did it come to be?
12,djs,are you looking for djs in your area,"A useful follow-up question to clarify the query could be, ""What specific type of DJs are you looking for?",What is the historical background of [insert subject/topic here] and how did it come to be?
12,djs,are you looking for different kinds of djs,"A useful follow-up question to clarify the query could be, ""What specific type of DJs are you looking for?",What is the historical background of [insert subject/topic here] and how did it come to be?
12,djs,are you looking for djs,"A useful follow-up question to clarify the query could be, ""What specific type of DJs are you looking for?",What is the historical background of [insert subject/topic here] and how did it come to be?
12,djs,are you looking for reviews of djs,"A useful follow-up question to clarify the query could be, ""What specific type of DJs are you looking for?",What is the historical background of [insert subject/topic here] and how did it come to be?
12,djs,are you looking to find a djs website,"A useful follow-up question to clarify the query could be, ""What specific type of DJs are you looking for?",What is the historical background of [insert subject/topic here] and how did it come to be?
12,djs,do you need recommendations for djs,"A useful follow-up question to clarify the query could be, ""What specific type of DJs are you looking for?",What is the historical background of [insert subject/topic here] and how did it come to be?
12,djs,do you need to book a dj for an event,"A useful follow-up question to clarify the query could be, ""What specific type of DJs are you looking for?",What is the historical background of [insert subject/topic here] and how did it come to be?
12,djs,,"A useful follow-up question to clarify the query could be, ""What specific type of DJs are you looking for?",What is the historical background of [insert subject/topic here] and how did it come to be?
120,tv on computer,are you interested in buying a tv with a computer included,"""Are you referring to streaming TV shows or playing local television broadcasts through your computer?","What types of devices or systems are compatible with your product, and how does it integrate with my current TV setup?"
120,tv on computer,are you looking for netflix,"""Are you referring to streaming TV shows or playing local television broadcasts through your computer?","What types of devices or systems are compatible with your product, and how does it integrate with my current TV setup?"
120,tv on computer,do you want to find online tv streaming services,"""Are you referring to streaming TV shows or playing local television broadcasts through your computer?","What types of devices or systems are compatible with your product, and how does it integrate with my current TV setup?"
120,tv on computer,do you want to know how to display your computer on a tv,"""Are you referring to streaming TV shows or playing local television broadcasts through your computer?","What types of devices or systems are compatible with your product, and how does it integrate with my current TV setup?"
120,tv on computer,do you want to know technical information about tv on computer,"""Are you referring to streaming TV shows or playing local television broadcasts through your computer?","What types of devices or systems are compatible with your product, and how does it integrate with my current TV setup?"
120,tv on computer,do you want to know what sites you can watch tv on the computer at,"""Are you referring to streaming TV shows or playing local television broadcasts through your computer?","What types of devices or systems are compatible with your product, and how does it integrate with my current TV setup?"
120,tv on computer,do you want to purchase streaming services,"""Are you referring to streaming TV shows or playing local television broadcasts through your computer?","What types of devices or systems are compatible with your product, and how does it integrate with my current TV setup?"
120,tv on computer,which tv and computer information would you like to know more about,"""Are you referring to streaming TV shows or playing local television broadcasts through your computer?","What types of devices or systems are compatible with your product, and how does it integrate with my current TV setup?"
120,tv on computer,would you like to know how to watch tv on your computer,"""Are you referring to streaming TV shows or playing local television broadcasts through your computer?","What types of devices or systems are compatible with your product, and how does it integrate with my current TV setup?"
120,tv on computer,,"""Are you referring to streaming TV shows or playing local television broadcasts through your computer?","What types of devices or systems are compatible with your product, and how does it integrate with my current TV setup?"
121,sit and reach test,are you looking for information on how its scored,What specific criteria or guidelines are used to evaluate performance in the sit and reach test?,What is the purpose of the sit and reach test in assessing an individual's flexibility?
121,sit and reach test,do you want to purchase a box to measure with,What specific criteria or guidelines are used to evaluate performance in the sit and reach test?,What is the purpose of the sit and reach test in assessing an individual's flexibility?
121,sit and reach test,would you like to know where the test is used in,What specific criteria or guidelines are used to evaluate performance in the sit and reach test?,What is the purpose of the sit and reach test in assessing an individual's flexibility?
121,sit and reach test,are you trying to determine how well you did,What specific criteria or guidelines are used to evaluate performance in the sit and reach test?,What is the purpose of the sit and reach test in assessing an individual's flexibility?
121,sit and reach test,do you need instructions to do the test,What specific criteria or guidelines are used to evaluate performance in the sit and reach test?,What is the purpose of the sit and reach test in assessing an individual's flexibility?
121,sit and reach test,do you want general information about the test,What specific criteria or guidelines are used to evaluate performance in the sit and reach test?,What is the purpose of the sit and reach test in assessing an individual's flexibility?
121,sit and reach test,do you want to know how to perform this test,What specific criteria or guidelines are used to evaluate performance in the sit and reach test?,What is the purpose of the sit and reach test in assessing an individual's flexibility?
121,sit and reach test,do you want to know other related tests,What specific criteria or guidelines are used to evaluate performance in the sit and reach test?,What is the purpose of the sit and reach test in assessing an individual's flexibility?
121,sit and reach test,do you want to know the purpose of the test,What specific criteria or guidelines are used to evaluate performance in the sit and reach test?,What is the purpose of the sit and reach test in assessing an individual's flexibility?
121,sit and reach test,do you want to know what is considered a good score,What specific criteria or guidelines are used to evaluate performance in the sit and reach test?,What is the purpose of the sit and reach test in assessing an individual's flexibility?
121,sit and reach test,do you want to know who should take the test,What specific criteria or guidelines are used to evaluate performance in the sit and reach test?,What is the purpose of the sit and reach test in assessing an individual's flexibility?
121,sit and reach test,,What specific criteria or guidelines are used to evaluate performance in the sit and reach test?,What is the purpose of the sit and reach test in assessing an individual's flexibility?
122,culpeper national cemetery,are you looking for the records for culpeper national cemetary,"The specific location of Culpeper National Cemetery, including its address or GPS coordinates.",What types of upland habitats can be found in the uplands of Yellowstone National Park?
122,culpeper national cemetery,would you like to know the way to culpeper national cemetary,"The specific location of Culpeper National Cemetery, including its address or GPS coordinates.",What types of upland habitats can be found in the uplands of Yellowstone National Park?
122,culpeper national cemetery,would you like to see news about culpeper national cemetary,"The specific location of Culpeper National Cemetery, including its address or GPS coordinates.",What types of upland habitats can be found in the uplands of Yellowstone National Park?
122,culpeper national cemetery,would you like to see services for the culpeper national cemetary today,"The specific location of Culpeper National Cemetery, including its address or GPS coordinates.",What types of upland habitats can be found in the uplands of Yellowstone National Park?
122,culpeper national cemetery,would you like to know who are buried at culpeper national cemetery,"The specific location of Culpeper National Cemetery, including its address or GPS coordinates.",What types of upland habitats can be found in the uplands of Yellowstone National Park?
122,culpeper national cemetery,are you looking for things to do near culpeper national cemetery,"The specific location of Culpeper National Cemetery, including its address or GPS coordinates.",What types of upland habitats can be found in the uplands of Yellowstone National Park?
122,culpeper national cemetery,do you need directions to culpeper national cemetery,"The specific location of Culpeper National Cemetery, including its address or GPS coordinates.",What types of upland habitats can be found in the uplands of Yellowstone National Park?
122,culpeper national cemetery,do you need the address of culpeper national cemetery,"The specific location of Culpeper National Cemetery, including its address or GPS coordinates.",What types of upland habitats can be found in the uplands of Yellowstone National Park?
122,culpeper national cemetery,do you want to know the history of culpeper national cemetery,"The specific location of Culpeper National Cemetery, including its address or GPS coordinates.",What types of upland habitats can be found in the uplands of Yellowstone National Park?
122,culpeper national cemetery,do you want to know the size of culpeper national cemetery,"The specific location of Culpeper National Cemetery, including its address or GPS coordinates.",What types of upland habitats can be found in the uplands of Yellowstone National Park?
122,culpeper national cemetery,do you want to visit culpeper national cemetery,"The specific location of Culpeper National Cemetery, including its address or GPS coordinates.",What types of upland habitats can be found in the uplands of Yellowstone National Park?
122,culpeper national cemetery,what would you like to know about culpeper national cemetary,"The specific location of Culpeper National Cemetery, including its address or GPS coordinates.",What types of upland habitats can be found in the uplands of Yellowstone National Park?
122,culpeper national cemetery,would you like to know the history of culpeper national cemetary,"The specific location of Culpeper National Cemetery, including its address or GPS coordinates.",What types of upland habitats can be found in the uplands of Yellowstone National Park?
122,culpeper national cemetery,,"The specific location of Culpeper National Cemetery, including its address or GPS coordinates.",What types of upland habitats can be found in the uplands of Yellowstone National Park?
123,von willebrand disease,are you interested in learning about treatments for von willebrand disease,"What specific type of Von Willebrand disease are you referring to, such as Type 1 or Type 2?",What are some of the causes and risk factors associated with Alzheimer's disease?
123,von willebrand disease,which type of von willebrand disease do you want information about,"What specific type of Von Willebrand disease are you referring to, such as Type 1 or Type 2?",What are some of the causes and risk factors associated with Alzheimer's disease?
123,von willebrand disease,would you like to learn about the symptoms of von willebrand disease,"What specific type of Von Willebrand disease are you referring to, such as Type 1 or Type 2?",What are some of the causes and risk factors associated with Alzheimer's disease?
123,von willebrand disease,are you interested in the types of von willebrand disease,"What specific type of Von Willebrand disease are you referring to, such as Type 1 or Type 2?",What are some of the causes and risk factors associated with Alzheimer's disease?
123,von willebrand disease,are you looking for specific information about von willebrand disease,"What specific type of Von Willebrand disease are you referring to, such as Type 1 or Type 2?",What are some of the causes and risk factors associated with Alzheimer's disease?
123,von willebrand disease,do you want information about von willebrand disease in dogs,"What specific type of Von Willebrand disease are you referring to, such as Type 1 or Type 2?",What are some of the causes and risk factors associated with Alzheimer's disease?
123,von willebrand disease,do you want to know about the cause of von willebrand disease,"What specific type of Von Willebrand disease are you referring to, such as Type 1 or Type 2?",What are some of the causes and risk factors associated with Alzheimer's disease?
123,von willebrand disease,do you want to know how von willebrand disease is treated,"What specific type of Von Willebrand disease are you referring to, such as Type 1 or Type 2?",What are some of the causes and risk factors associated with Alzheimer's disease?
123,von willebrand disease,what kind of information about von willebrand disease do you want to see,"What specific type of Von Willebrand disease are you referring to, such as Type 1 or Type 2?",What are some of the causes and risk factors associated with Alzheimer's disease?
123,von willebrand disease,what person with von willebrand disease do you want to know about,"What specific type of Von Willebrand disease are you referring to, such as Type 1 or Type 2?",What are some of the causes and risk factors associated with Alzheimer's disease?
123,von willebrand disease,which animal are you interested in knowing about in regards to von willebrand disease,"What specific type of Von Willebrand disease are you referring to, such as Type 1 or Type 2?",What are some of the causes and risk factors associated with Alzheimer's disease?
123,von willebrand disease,,"What specific type of Von Willebrand disease are you referring to, such as Type 1 or Type 2?",What are some of the causes and risk factors associated with Alzheimer's disease?
124,bowflex power pro,are you interested in purchasing it online,"What specific features or capabilities does the Bowflex Power Pro have, and how do they compare to other home gym systems?","What types of home gym equipment are available for purchase, and which ones would be most suitable for someone who is just starting out with working out at home?"
124,bowflex power pro,would you like to learn more about how to exercise with the bowflex power pro,"What specific features or capabilities does the Bowflex Power Pro have, and how do they compare to other home gym systems?","What types of home gym equipment are available for purchase, and which ones would be most suitable for someone who is just starting out with working out at home?"
124,bowflex power pro,would you like to see an instruction manual,"What specific features or capabilities does the Bowflex Power Pro have, and how do they compare to other home gym systems?","What types of home gym equipment are available for purchase, and which ones would be most suitable for someone who is just starting out with working out at home?"
124,bowflex power pro,would you like to see some different exercises which can be done with this equipment,"What specific features or capabilities does the Bowflex Power Pro have, and how do they compare to other home gym systems?","What types of home gym equipment are available for purchase, and which ones would be most suitable for someone who is just starting out with working out at home?"
124,bowflex power pro,would you like to see some reviews,"What specific features or capabilities does the Bowflex Power Pro have, and how do they compare to other home gym systems?","What types of home gym equipment are available for purchase, and which ones would be most suitable for someone who is just starting out with working out at home?"
124,bowflex power pro,would you like to see specs on this equipment,"What specific features or capabilities does the Bowflex Power Pro have, and how do they compare to other home gym systems?","What types of home gym equipment are available for purchase, and which ones would be most suitable for someone who is just starting out with working out at home?"
124,bowflex power pro,are you interested in where the bowflex power pro is produced,"What specific features or capabilities does the Bowflex Power Pro have, and how do they compare to other home gym systems?","What types of home gym equipment are available for purchase, and which ones would be most suitable for someone who is just starting out with working out at home?"
124,bowflex power pro,are you looking for any specific information on bowflex power pro,"What specific features or capabilities does the Bowflex Power Pro have, and how do they compare to other home gym systems?","What types of home gym equipment are available for purchase, and which ones would be most suitable for someone who is just starting out with working out at home?"
124,bowflex power pro,are you wondering if there has been a recall notice,"What specific features or capabilities does the Bowflex Power Pro have, and how do they compare to other home gym systems?","What types of home gym equipment are available for purchase, and which ones would be most suitable for someone who is just starting out with working out at home?"
124,bowflex power pro,do you want to buy some parts for this equipment,"What specific features or capabilities does the Bowflex Power Pro have, and how do they compare to other home gym systems?","What types of home gym equipment are available for purchase, and which ones would be most suitable for someone who is just starting out with working out at home?"
124,bowflex power pro,do you want to know about reviews on the bowflex power pro,"What specific features or capabilities does the Bowflex Power Pro have, and how do they compare to other home gym systems?","What types of home gym equipment are available for purchase, and which ones would be most suitable for someone who is just starting out with working out at home?"
124,bowflex power pro,do you want to know how to use the bowflex power pro,"What specific features or capabilities does the Bowflex Power Pro have, and how do they compare to other home gym systems?","What types of home gym equipment are available for purchase, and which ones would be most suitable for someone who is just starting out with working out at home?"
124,bowflex power pro,would you like to know the history of the bowflex power pro,"What specific features or capabilities does the Bowflex Power Pro have, and how do they compare to other home gym systems?","What types of home gym equipment are available for purchase, and which ones would be most suitable for someone who is just starting out with working out at home?"
124,bowflex power pro,would you like to know where to buy one,"What specific features or capabilities does the Bowflex Power Pro have, and how do they compare to other home gym systems?","What types of home gym equipment are available for purchase, and which ones would be most suitable for someone who is just starting out with working out at home?"
124,bowflex power pro,,"What specific features or capabilities does the Bowflex Power Pro have, and how do they compare to other home gym systems?","What types of home gym equipment are available for purchase, and which ones would be most suitable for someone who is just starting out with working out at home?"
125,butter and margarine,are you interested in the the nutritional value of butter and margarine,"What is the main difference between butter and margarine in terms of their composition, production methods, and nutritional value?","What are some notable differences between product A and product B in terms of their features, performance, or target audience?"
125,butter and margarine,would you like to know the differences between butter and margarine,"What is the main difference between butter and margarine in terms of their composition, production methods, and nutritional value?","What are some notable differences between product A and product B in terms of their features, performance, or target audience?"
125,butter and margarine,would you like to see how these fats effect human arteries,"What is the main difference between butter and margarine in terms of their composition, production methods, and nutritional value?","What are some notable differences between product A and product B in terms of their features, performance, or target audience?"
125,butter and margarine,would you like to see recipes with butter and margarine,"What is the main difference between butter and margarine in terms of their composition, production methods, and nutritional value?","What are some notable differences between product A and product B in terms of their features, performance, or target audience?"
125,butter and margarine,would you like to know about butter and margarine making process,"What is the main difference between butter and margarine in terms of their composition, production methods, and nutritional value?","What are some notable differences between product A and product B in terms of their features, performance, or target audience?"
125,butter and margarine,are you looking for butter and margarine comparison,"What is the main difference between butter and margarine in terms of their composition, production methods, and nutritional value?","What are some notable differences between product A and product B in terms of their features, performance, or target audience?"
125,butter and margarine,are you looking for health facts of butter and mararine,"What is the main difference between butter and margarine in terms of their composition, production methods, and nutritional value?","What are some notable differences between product A and product B in terms of their features, performance, or target audience?"
125,butter and margarine,are you looking for the brands of butter and margarine,"What is the main difference between butter and margarine in terms of their composition, production methods, and nutritional value?","What are some notable differences between product A and product B in terms of their features, performance, or target audience?"
125,butter and margarine,are you looking for the history of butter and margarine,"What is the main difference between butter and margarine in terms of their composition, production methods, and nutritional value?","What are some notable differences between product A and product B in terms of their features, performance, or target audience?"
125,butter and margarine,are you looking to subsitute butter and margarine,"What is the main difference between butter and margarine in terms of their composition, production methods, and nutritional value?","What are some notable differences between product A and product B in terms of their features, performance, or target audience?"
125,butter and margarine,are you looking to use butter and margarine in baking,"What is the main difference between butter and margarine in terms of their composition, production methods, and nutritional value?","What are some notable differences between product A and product B in terms of their features, performance, or target audience?"
125,butter and margarine,would you like to know how butter and margarine affect the food you eat,"What is the main difference between butter and margarine in terms of their composition, production methods, and nutritional value?","What are some notable differences between product A and product B in terms of their features, performance, or target audience?"
125,butter and margarine,would you like to know how butter and margarine are used in recipes,"What is the main difference between butter and margarine in terms of their composition, production methods, and nutritional value?","What are some notable differences between product A and product B in terms of their features, performance, or target audience?"
125,butter and margarine,,"What is the main difference between butter and margarine in terms of their composition, production methods, and nutritional value?","What are some notable differences between product A and product B in terms of their features, performance, or target audience?"
126,us capitol map,are you interested in a map of capitol hill,"What specific features or areas would you like to see on the Capitol map, such as congressional districts, monuments, or building interiors?",What is the exact geographical location of the U.S. Capitol building?
126,us capitol map,shall i order one for you,"What specific features or areas would you like to see on the Capitol map, such as congressional districts, monuments, or building interiors?",What is the exact geographical location of the U.S. Capitol building?
126,us capitol map,which part of the us capitol are you more interested in,"What specific features or areas would you like to see on the Capitol map, such as congressional districts, monuments, or building interiors?",What is the exact geographical location of the U.S. Capitol building?
126,us capitol map,would you like a map of every state capitol,"What specific features or areas would you like to see on the Capitol map, such as congressional districts, monuments, or building interiors?",What is the exact geographical location of the U.S. Capitol building?
126,us capitol map,would you like historical information about us capitol maps,"What specific features or areas would you like to see on the Capitol map, such as congressional districts, monuments, or building interiors?",What is the exact geographical location of the U.S. Capitol building?
126,us capitol map,are you referring to washington dc,"What specific features or areas would you like to see on the Capitol map, such as congressional districts, monuments, or building interiors?",What is the exact geographical location of the U.S. Capitol building?
126,us capitol map,do you want a map of washington dc,"What specific features or areas would you like to see on the Capitol map, such as congressional districts, monuments, or building interiors?",What is the exact geographical location of the U.S. Capitol building?
126,us capitol map,do you want a state capitol map for the us,"What specific features or areas would you like to see on the Capitol map, such as congressional districts, monuments, or building interiors?",What is the exact geographical location of the U.S. Capitol building?
126,us capitol map,do you want to buy a map of the capitol of the us,"What specific features or areas would you like to see on the Capitol map, such as congressional districts, monuments, or building interiors?",What is the exact geographical location of the U.S. Capitol building?
126,us capitol map,do you want to know how to access a us capitol map,"What specific features or areas would you like to see on the Capitol map, such as congressional districts, monuments, or building interiors?",What is the exact geographical location of the U.S. Capitol building?
126,us capitol map,do you want to know if there is tour information on the us capitol map,"What specific features or areas would you like to see on the Capitol map, such as congressional districts, monuments, or building interiors?",What is the exact geographical location of the U.S. Capitol building?
126,us capitol map,do you want to know what cities are on the us capitol map,"What specific features or areas would you like to see on the Capitol map, such as congressional districts, monuments, or building interiors?",What is the exact geographical location of the U.S. Capitol building?
126,us capitol map,do you want to know what details are on a us capitol map,"What specific features or areas would you like to see on the Capitol map, such as congressional districts, monuments, or building interiors?",What is the exact geographical location of the U.S. Capitol building?
126,us capitol map,,"What specific features or areas would you like to see on the Capitol map, such as congressional districts, monuments, or building interiors?",What is the exact geographical location of the U.S. Capitol building?
127,dutchess county tourism,are you interested in the farm fresh tours,What specific attractions or activities are available in Dutchess County for tourists?,"What types of tourism resources are available in Dutchess County, such as attractions, outdoor activities, or cultural sites?"
127,dutchess county tourism,where in specific in dutchess county were you curious about,What specific attractions or activities are available in Dutchess County for tourists?,"What types of tourism resources are available in Dutchess County, such as attractions, outdoor activities, or cultural sites?"
127,dutchess county tourism,what activities in dutchess county were you interested in,What specific attractions or activities are available in Dutchess County for tourists?,"What types of tourism resources are available in Dutchess County, such as attractions, outdoor activities, or cultural sites?"
127,dutchess county tourism,are you looking for a job in dutchess county in regards to tourism,What specific attractions or activities are available in Dutchess County for tourists?,"What types of tourism resources are available in Dutchess County, such as attractions, outdoor activities, or cultural sites?"
127,dutchess county tourism,are you looking for information related to tourism,What specific attractions or activities are available in Dutchess County for tourists?,"What types of tourism resources are available in Dutchess County, such as attractions, outdoor activities, or cultural sites?"
127,dutchess county tourism,are you seeking an event calendar for dutchess county,What specific attractions or activities are available in Dutchess County for tourists?,"What types of tourism resources are available in Dutchess County, such as attractions, outdoor activities, or cultural sites?"
127,dutchess county tourism,did you want to know about the dutchess county tourism center,What specific attractions or activities are available in Dutchess County for tourists?,"What types of tourism resources are available in Dutchess County, such as attractions, outdoor activities, or cultural sites?"
127,dutchess county tourism,did you want to know the amount of tourism dutchess county gets,What specific attractions or activities are available in Dutchess County for tourists?,"What types of tourism resources are available in Dutchess County, such as attractions, outdoor activities, or cultural sites?"
127,dutchess county tourism,do you want a job in dutchess county,What specific attractions or activities are available in Dutchess County for tourists?,"What types of tourism resources are available in Dutchess County, such as attractions, outdoor activities, or cultural sites?"
127,dutchess county tourism,do you want to move to dutchess county,What specific attractions or activities are available in Dutchess County for tourists?,"What types of tourism resources are available in Dutchess County, such as attractions, outdoor activities, or cultural sites?"
127,dutchess county tourism,what tourist spots are you looking for in dutchess county,What specific attractions or activities are available in Dutchess County for tourists?,"What types of tourism resources are available in Dutchess County, such as attractions, outdoor activities, or cultural sites?"
127,dutchess county tourism,,What specific attractions or activities are available in Dutchess County for tourists?,"What types of tourism resources are available in Dutchess County, such as attractions, outdoor activities, or cultural sites?"
128,atypical squamous cells,are you interested in a desciption of aytypical squamous cells,"What specific features or characteristics are associated with atypical squamous cells, and how might they differ from typical squamous cells?","Who are Barack Obama's parents, grandparents, and other ancestors?"
128,atypical squamous cells,would you like to know if there is a cure,"What specific features or characteristics are associated with atypical squamous cells, and how might they differ from typical squamous cells?","Who are Barack Obama's parents, grandparents, and other ancestors?"
128,atypical squamous cells,would you like to know the chance of getting atypical squamous cells,"What specific features or characteristics are associated with atypical squamous cells, and how might they differ from typical squamous cells?","Who are Barack Obama's parents, grandparents, and other ancestors?"
128,atypical squamous cells,are you interested in atypical squamous cells in a test result,"What specific features or characteristics are associated with atypical squamous cells, and how might they differ from typical squamous cells?","Who are Barack Obama's parents, grandparents, and other ancestors?"
128,atypical squamous cells,are you interested in atypical squamous cells in urine,"What specific features or characteristics are associated with atypical squamous cells, and how might they differ from typical squamous cells?","Who are Barack Obama's parents, grandparents, and other ancestors?"
128,atypical squamous cells,do you want to learn about atypical squamous cells in a pap smear,"What specific features or characteristics are associated with atypical squamous cells, and how might they differ from typical squamous cells?","Who are Barack Obama's parents, grandparents, and other ancestors?"
128,atypical squamous cells,do you want to learn about cervical cancer,"What specific features or characteristics are associated with atypical squamous cells, and how might they differ from typical squamous cells?","Who are Barack Obama's parents, grandparents, and other ancestors?"
128,atypical squamous cells,do you want to see a picture of atypical squamous cells,"What specific features or characteristics are associated with atypical squamous cells, and how might they differ from typical squamous cells?","Who are Barack Obama's parents, grandparents, and other ancestors?"
128,atypical squamous cells,do you want to see how common it it,"What specific features or characteristics are associated with atypical squamous cells, and how might they differ from typical squamous cells?","Who are Barack Obama's parents, grandparents, and other ancestors?"
128,atypical squamous cells,would you like the definition of atypical squamous cells,"What specific features or characteristics are associated with atypical squamous cells, and how might they differ from typical squamous cells?","Who are Barack Obama's parents, grandparents, and other ancestors?"
128,atypical squamous cells,would you like to know about treatment for atypical squamous cells,"What specific features or characteristics are associated with atypical squamous cells, and how might they differ from typical squamous cells?","Who are Barack Obama's parents, grandparents, and other ancestors?"
128,atypical squamous cells,,"What specific features or characteristics are associated with atypical squamous cells, and how might they differ from typical squamous cells?","Who are Barack Obama's parents, grandparents, and other ancestors?"
129,iowa food stamp program,are you interested in how much you can get from this program,What specific details or requirements are needed for someone to qualify for the Iowa Food Stamp Program?,"What were some key events or milestones in the establishment, expansion, and evolution of the Iowa Food Stamp Program?"
129,iowa food stamp program,do you need to apply for food stamps in iowa,What specific details or requirements are needed for someone to qualify for the Iowa Food Stamp Program?,"What were some key events or milestones in the establishment, expansion, and evolution of the Iowa Food Stamp Program?"
129,iowa food stamp program,regarding food stamps in iowa are you looking for eligibility information,What specific details or requirements are needed for someone to qualify for the Iowa Food Stamp Program?,"What were some key events or milestones in the establishment, expansion, and evolution of the Iowa Food Stamp Program?"
129,iowa food stamp program,would you like a website about this topic,What specific details or requirements are needed for someone to qualify for the Iowa Food Stamp Program?,"What were some key events or milestones in the establishment, expansion, and evolution of the Iowa Food Stamp Program?"
129,iowa food stamp program,would you like directions to the nearest iowa food stamp office,What specific details or requirements are needed for someone to qualify for the Iowa Food Stamp Program?,"What were some key events or milestones in the establishment, expansion, and evolution of the Iowa Food Stamp Program?"
129,iowa food stamp program,are you interested in the requirements for applying to the program or the poverty level limits,What specific details or requirements are needed for someone to qualify for the Iowa Food Stamp Program?,"What were some key events or milestones in the establishment, expansion, and evolution of the Iowa Food Stamp Program?"
129,iowa food stamp program,are you looking for a specific web site,What specific details or requirements are needed for someone to qualify for the Iowa Food Stamp Program?,"What were some key events or milestones in the establishment, expansion, and evolution of the Iowa Food Stamp Program?"
129,iowa food stamp program,are you looking for an application on this topic,What specific details or requirements are needed for someone to qualify for the Iowa Food Stamp Program?,"What were some key events or milestones in the establishment, expansion, and evolution of the Iowa Food Stamp Program?"
129,iowa food stamp program,are you looking for more information on food stamps in iowa,What specific details or requirements are needed for someone to qualify for the Iowa Food Stamp Program?,"What were some key events or milestones in the establishment, expansion, and evolution of the Iowa Food Stamp Program?"
129,iowa food stamp program,are you looking for requirements to become a food assistance ,What specific details or requirements are needed for someone to qualify for the Iowa Food Stamp Program?,"What were some key events or milestones in the establishment, expansion, and evolution of the Iowa Food Stamp Program?"
129,iowa food stamp program,are you referring to a federally funded food stamp program or one that is funded by the state government,What specific details or requirements are needed for someone to qualify for the Iowa Food Stamp Program?,"What were some key events or milestones in the establishment, expansion, and evolution of the Iowa Food Stamp Program?"
129,iowa food stamp program,are you referring to a food stamp program that is current or a historical one,What specific details or requirements are needed for someone to qualify for the Iowa Food Stamp Program?,"What were some key events or milestones in the establishment, expansion, and evolution of the Iowa Food Stamp Program?"
129,iowa food stamp program,do you need requirements for food stamps in iowa,What specific details or requirements are needed for someone to qualify for the Iowa Food Stamp Program?,"What were some key events or milestones in the establishment, expansion, and evolution of the Iowa Food Stamp Program?"
129,iowa food stamp program,,What specific details or requirements are needed for someone to qualify for the Iowa Food Stamp Program?,"What were some key events or milestones in the establishment, expansion, and evolution of the Iowa Food Stamp Program?"
13,map,are you interested in cartography,What type of map are you looking for?,"What are some common types of data structures used in computer programming, such as arrays, linked lists, stacks, and queues?"
